"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-01","10.29","23","30","17","   20","  360","17.0","23.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-02","7.38","24","27","22","  360","   30","13.0","21.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-03","4.92","30","48","21","  350","  350","15.0","21.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-04","3.36","37","50","27","   40","   70","8.1","13.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-05","6.26","45","62","31","  160","  220","13.0","18.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-06","11.41","49","64","37","  150","  150","21.9","27.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-07","11.63","56","61","51","  170","  180","23.9","29.1","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-08","8.95","52","60","42","  320","   10","17.0","25.9","    1",,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-09","8.95","45","49","39","  140","  140","18.1","21.9","    1","    1",,,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-10","15.21","49","59","46","  140","  140","23.9","28.0","    1",,,,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-11","17.90","52","63","31","  320","  320","32.0","45.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-12","13.65","32","43","23","  320","  350","25.9","34.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-13","8.50","36","46","28","   10","  350","16.1","21.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-14","9.17","40","55","31","  180","  190","16.1","19.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-15","12.75","45","56","29","   10","   20","31.1","38.9",,,,"    1",,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-16","15.43","27","29","18","   10","   10","25.9","34.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-17","3.58","23","36","15","  170","  360","8.1","12.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-18","7.38","31","46","21","  180","  170","15.0","19.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-19","12.30","44","54","37","  180","  190","21.0","31.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-20","15.66","59","71","51","  170","  180","25.9","31.1","    1",,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-21","14.09","66","74","60","  180","  190","25.1","32.0",,,"    1",,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-22","12.97","57","61","41","  310","  320","29.1","40.0",,,,,,,
